timestamp, frame, x, y, z, qx, qy, qz, qw
1968347.278019875, 000000, -0.20036456, 0.20141405, -0.15486887, 0.65465844, -0.5220358, 0.2475929, -0.48744112
1968347.294688291, 000001, -0.19719273, 0.20287013, -0.15797488, 0.65387744, -0.52331823, 0.24958454, -0.48609665
1968347.311356791, 000002, -0.1963712, 0.20365174, -0.15888688, 0.6530993, -0.524392, 0.25037736, -0.48557764
1968347.32802525, 000003, -0.19637586, 0.20418426, -0.15900263, 0.65243393, -0.5251049, 0.25033173, -0.48572528
1968347.344693708, 000004, -0.19671299, 0.2046178, -0.15884231, 0.6520296, -0.5250818, 0.24994771, -0.48649007
1968347.361362208, 000005, -0.19722839, 0.20500888, -0.15860336, 0.65164834, -0.52416444, 0.24981737, -0.4880547
1968347.378030666, 000006, -0.19784105, 0.20536946, -0.15832105, 0.6510535, -0.5230594, 0.25028375, -0.4897921
1968347.394699041, 000007, -0.19841608, 0.20573054, -0.15797362, 0.6506968, -0.52192354, 0.2502285, -0.49150294
1968347.411367666, 000008, -0.19628094, 0.20602821, -0.1600768, 0.6506089, -0.52164674, 0.25007012, -0.49199367
1968347.428036041, 000009, -0.19578478, 0.20635273, -0.16047654, 0.6505808, -0.52200323, 0.24951859, -0.49193275
1968347.444704541, 000010, -0.19583648, 0.206703, -0.16036505, 0.6506031, -0.5223017, 0.24929732, -0.49169847
1968347.461373041, 000011, -0.19610992, 0.20706522, -0.16014531, 0.65050447, -0.52231663, 0.24997742, -0.49146792
1968347.478041541, 000012, -0.19587055, 0.20747289, -0.16010757, 0.6505838, -0.52182513, 0.2502581, -0.49174207
1968347.494709833, 000013, -0.1940856, 0.20791648, -0.16071309, 0.6505981, -0.52126735, 0.25045425, -0.49221462
1968347.528046833, 000014, -0.19401222, 0.20861335, -0.16023137, 0.65035737, -0.5200389, 0.25004187, -0.4940384
1968347.544715291, 000015, -0.19431767, 0.20893878, -0.15971509, 0.6502456, -0.5201465, 0.2491702, -0.49451256
1968347.561383791, 000016, -0.19466148, 0.20927297, -0.15919112, 0.65007913, -0.52049214, 0.24837229, -0.4947689
1968347.578052291, 000017, -0.19505574, 0.20961475, -0.15872368, 0.6495823, -0.52095306, 0.24847493, -0.49488494
1968347.59472075, 000018, -0.19395408, 0.2101657, -0.15915842, 0.64920515, -0.52123976, 0.24859191, -0.49501902
1968347.61138925, 000019, -0.1938426, 0.21055342, -0.15904628, 0.6488007, -0.5213422, 0.24878795, -0.4953428
1968347.628057625, 000020, -0.19404271, 0.21086514, -0.15874499, 0.64861625, -0.52158344, 0.24862343, -0.49541315
1968347.644726083, 000021, -0.19435006, 0.21113221, -0.15840897, 0.6486391, -0.52202255, 0.24822995, -0.49511814
